date,event,time,classes
25.05.2023, חופש שבועות , 0 עד שיעור 14 ,: כל הכיתות
26.05.2023, חופש שבועות , 0 עד שיעור 14 ,: כל הכיתות
21.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
22.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
23.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
24.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
25.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
26.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
27.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
28.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
29.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
30.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
01.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
02.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
03.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
04.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
05.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
06.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
07.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
08.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
09.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
10.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
11.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
12.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
13.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
14.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
15.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
16.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
17.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
18.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
19.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
20.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
21.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
22.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות
